Location,Date,TodayCases,YesterdayCases,DailyCasesSpikeTiers
Afghanistan,2020-02-24,1,NULL,Excellent Measures in Place
Afghanistan,2020-02-25,0,1,Excellent Measures in Place
Afghanistan,2020-02-26,0,0,Excellent Measures in Place
Afghanistan,2020-02-27,0,0,Excellent Measures in Place
Afghanistan,2020-02-28,0,0,Excellent Measures in Place
Afghanistan,2020-02-29,0,0,Excellent Measures in Place
Afghanistan,2020-03-01,0,0,Excellent Measures in Place
Afghanistan,2020-03-02,0,0,Excellent Measures in Place
Afghanistan,2020-03-03,1,0,Excellent Measures in Place
Afghanistan,2020-03-04,2,1,Excellent Measures in Place
Afghanistan,2020-03-05,0,2,Excellent Measures in Place
Afghanistan,2020-03-06,0,0,Excellent Measures in Place
Afghanistan,2020-03-07,0,0,Excellent Measures in Place
Afghanistan,2020-03-08,1,0,Excellent Measures in Place
Afghanistan,2020-03-09,2,1,Excellent Measures in Place
Afghanistan,2020-03-10,1,2,Excellent Measures in Place
Afghanistan,2020-03-11,3,1,Good Measures in Place
Afghanistan,2020-03-12,1,3,Excellent Measures in Place
Afghanistan,2020-03-13,1,1,Excellent Measures in Place
Afghanistan,2020-03-14,2,1,Excellent Measures in Place
Afghanistan,2020-03-15,1,2,Excellent Measures in Place
Afghanistan,2020-03-16,2,1,Excellent Measures in Place
Afghanistan,2020-03-17,2,2,Excellent Measures in Place
Afghanistan,2020-03-18,4,2,Good Measures in Place
Afghanistan,2020-03-19,1,4,Excellent Measures in Place
Afghanistan,2020-03-20,4,1,Good Measures in Place
Afghanistan,2020-03-21,1,4,Excellent Measures in Place
Afghanistan,2020-03-22,4,1,Good Measures in Place
Afghanistan,2020-03-23,7,4,Good Measures in Place
Afghanistan,2020-03-24,2,7,Excellent Measures in Place
Afghanistan,2020-03-25,33,2,Monitor
Afghanistan,2020-03-26,4,33,Excellent Measures in Place
Afghanistan,2020-03-27,11,4,Standard
Afghanistan,2020-03-28,16,11,Standard
Afghanistan,2020-03-29,11,16,Excellent Measures in Place
Afghanistan,2020-03-30,28,11,Monitor
Afghanistan,2020-03-31,29,28,Excellent Measures in Place
Afghanistan,2020-04-01,22,29,Excellent Measures in Place
Afghanistan,2020-04-02,43,22,Monitor
Afghanistan,2020-04-03,35,43,Excellent Measures in Place
Afghanistan,2020-04-04,25,35,Excellent Measures in Place
Afghanistan,2020-04-05,38,25,Monitor
Afghanistan,2020-04-06,30,38,Excellent Measures in Place
Afghanistan,2020-04-07,56,30,Monitor
Afghanistan,2020-04-08,21,56,Excellent Measures in Place
Afghanistan,2020-04-09,40,21,Monitor
Afghanistan,2020-04-10,47,40,Standard
Afghanistan,2020-04-11,24,47,Excellent Measures in Place
Afghanistan,2020-04-12,52,24,Monitor
Afghanistan,2020-04-13,58,52,Standard
Afghanistan,2020-04-14,49,58,Excellent Measures in Place
Afghanistan,2020-04-15,70,49,Monitor
Afghanistan,2020-04-16,56,70,Excellent Measures in Place
Afghanistan,2020-04-17,66,56,Standard
Afghanistan,2020-04-18,27,66,Excellent Measures in Place
Afghanistan,2020-04-19,63,27,Monitor
Afghanistan,2020-04-20,30,63,Excellent Measures in Place
Afghanistan,2020-04-21,66,30,Monitor
Afghanistan,2020-04-22,84,66,Monitor
Afghanistan,2020-04-23,59,84,Excellent Measures in Place
Afghanistan,2020-04-24,95,59,Monitor
Afghanistan,2020-04-25,133,95,Monitor
Afghanistan,2020-04-26,68,133,Excellent Measures in Place
Afghanistan,2020-04-27,172,68,Investigate
Afghanistan,2020-04-28,126,172,Excellent Measures in Place
Afghanistan,2020-04-29,110,126,Excellent Measures in Place
Afghanistan,2020-04-30,187,110,Investigate
Afghanistan,2020-05-01,164,187,Excellent Measures in Place
Afghanistan,2020-05-02,179,164,Monitor
Afghanistan,2020-05-03,235,179,Investigate
Afghanistan,2020-05-04,190,235,Excellent Measures in Place
Afghanistan,2020-05-05,330,190,Investigate
Afghanistan,2020-05-06,168,330,Excellent Measures in Place
Afghanistan,2020-05-07,171,168,Good Measures in Place
Afghanistan,2020-05-08,217,171,Monitor
Afghanistan,2020-05-09,261,217,Monitor
Afghanistan,2020-05-10,361,261,Investigate
Afghanistan,2020-05-11,284,361,Excellent Measures in Place
Afghanistan,2020-05-12,281,284,Excellent Measures in Place
Afghanistan,2020-05-13,259,281,Excellent Measures in Place
Afghanistan,2020-05-14,413,259,Investigate
Afghanistan,2020-05-15,414,413,Excellent Measures in Place
Afghanistan,2020-05-16,349,414,Excellent Measures in Place
Afghanistan,2020-05-17,262,349,Excellent Measures in Place
Afghanistan,2020-05-18,408,262,Investigate
Afghanistan,2020-05-19,581,408,Investigate
Afghanistan,2020-05-20,492,581,Excellent Measures in Place
Afghanistan,2020-05-21,531,492,Monitor
Afghanistan,2020-05-22,542,531,Monitor
Afghanistan,2020-05-23,782,542,Investigate
Afghanistan,2020-05-24,584,782,Excellent Measures in Place
Afghanistan,2020-05-25,591,584,Standard
Afghanistan,2020-05-26,658,591,Investigate
Afghanistan,2020-05-27,625,658,Excellent Measures in Place
Afghanistan,2020-05-28,580,625,Excellent Measures in Place
Afghanistan,2020-05-29,623,580,Monitor
Afghanistan,2020-05-30,866,623,Investigate
Afghanistan,2020-05-31,680,866,Excellent Measures in Place
Afghanistan,2020-06-01,545,680,Excellent Measures in Place
Afghanistan,2020-06-02,759,545,Investigate
Afghanistan,2020-06-03,758,759,Excellent Measures in Place
Afghanistan,2020-06-04,787,758,Monitor
Afghanistan,2020-06-05,915,787,Investigate
Afghanistan,2020-06-06,582,915,Excellent Measures in Place
Afghanistan,2020-06-07,791,582,Investigate
Afghanistan,2020-06-08,575,791,Excellent Measures in Place
Afghanistan,2020-06-09,542,575,Excellent Measures in Place
Afghanistan,2020-06-10,684,542,Investigate
Afghanistan,2020-06-11,748,684,Investigate
Afghanistan,2020-06-12,656,748,Excellent Measures in Place
Afghanistan,2020-06-13,556,656,Excellent Measures in Place
Afghanistan,2020-06-14,664,556,Investigate
Afghanistan,2020-06-15,761,664,Investigate
Afghanistan,2020-06-16,783,761,Monitor
Afghanistan,2020-06-17,564,783,Excellent Measures in Place
Afghanistan,2020-06-18,658,564,Investigate
Afghanistan,2020-06-19,346,658,Excellent Measures in Place
Afghanistan,2020-06-20,546,346,Investigate
Afghanistan,2020-06-21,409,546,Excellent Measures in Place
Afghanistan,2020-06-22,310,409,Excellent Measures in Place
Afghanistan,2020-06-23,324,310,Monitor
Afghanistan,2020-06-24,234,324,Excellent Measures in Place
Afghanistan,2020-06-25,460,234,Investigate
Afghanistan,2020-06-26,276,460,Excellent Measures in Place
Afghanistan,2020-06-27,165,276,Excellent Measures in Place
Afghanistan,2020-06-28,351,165,Investigate
Afghanistan,2020-06-29,271,351,Excellent Measures in Place
Afghanistan,2020-06-30,279,271,Standard
Afghanistan,2020-07-01,319,279,Monitor
Afghanistan,2020-07-02,186,319,Excellent Measures in Place
Afghanistan,2020-07-03,302,186,Investigate
Afghanistan,2020-07-04,348,302,Monitor
Afghanistan,2020-07-05,279,348,Excellent Measures in Place
Afghanistan,2020-07-06,239,279,Excellent Measures in Place
Afghanistan,2020-07-07,194,239,Excellent Measures in Place
Afghanistan,2020-07-08,210,194,Monitor
Afghanistan,2020-07-09,314,210,Investigate
Afghanistan,2020-07-10,286,314,Excellent Measures in Place
Afghanistan,2020-07-11,172,286,Excellent Measures in Place
Afghanistan,2020-07-12,85,172,Excellent Measures in Place
Afghanistan,2020-07-13,154,85,Investigate
Afghanistan,2020-07-14,135,154,Excellent Measures in Place
Afghanistan,2020-07-15,254,135,Investigate
Afghanistan,2020-07-16,76,254,Excellent Measures in Place
Afghanistan,2020-07-17,159,76,Investigate
Afghanistan,2020-07-18,60,159,Excellent Measures in Place
Afghanistan,2020-07-19,174,60,Investigate
Afghanistan,2020-07-20,40,174,Excellent Measures in Place
Afghanistan,2020-07-21,112,40,Investigate
Afghanistan,2020-07-22,112,112,Excellent Measures in Place
Afghanistan,2020-07-23,201,112,Investigate
Afghanistan,2020-07-24,60,201,Excellent Measures in Place
Afghanistan,2020-07-25,48,60,Excellent Measures in Place
Afghanistan,2020-07-26,121,48,Investigate
Afghanistan,2020-07-27,106,121,Excellent Measures in Place
Afghanistan,2020-07-28,105,106,Excellent Measures in Place
Afghanistan,2020-07-29,105,105,Excellent Measures in Place
Afghanistan,2020-07-30,69,105,Excellent Measures in Place
Afghanistan,2020-07-31,133,69,Investigate
Afghanistan,2020-08-01,35,133,Excellent Measures in Place
Afghanistan,2020-08-02,1,35,Excellent Measures in Place
Afghanistan,2020-08-03,36,1,Monitor
Afghanistan,2020-08-04,36,36,Excellent Measures in Place
Afghanistan,2020-08-05,47,36,Monitor
Afghanistan,2020-08-06,108,47,Investigate
Afghanistan,2020-08-07,78,108,Excellent Measures in Place
Afghanistan,2020-08-08,40,78,Excellent Measures in Place
Afghanistan,2020-08-09,37,40,Excellent Measures in Place
Afghanistan,2020-08-10,70,37,Monitor
Afghanistan,2020-08-11,107,70,Monitor
Afghanistan,2020-08-12,76,107,Excellent Measures in Place
