LOCATION,Total_Tests_Country,Max_Index_Country,DevelopmentTiers,Average_Positive_Rate_Country,percentage_Positive_rate_Over_Dev_Index
Albania,610865,0.795,medium development,0.195615384615385,24.6057087566522
Argentina,8563665,0.845,high development,0.228507936507936,27.0423593500516
Armenia,460180,0.776,medium development,0.226327659574468,29.1659355121737
Australia,10435656,0.944,high development,0.015375,1.62870762711864
Austria,31323111,0.922,high development,0.100410714285714,10.890533002789
Azerbaijan,22950,0.756,medium development,NULL,NULL
Bahrain,3297038,0.852,high development,0.043134328358209,5.06271459603392
Bangladesh,5444255,0.632,medium development,0.125976470588235,19.9329858525689
Belarus,513058,0.823,high development,0.0615045045045045,7.47320832375511
Belgium,12474082,0.931,high development,0.12941875,13.9010472610097
Bhutan,631823,0.654,medium development,0.00566666666666667,0.866462793068298
Bolivia,1079159,0.718,medium development,0.314516853932584,43.8045757566273
Bosnia and Herzegovina,613431,0.78,medium development,0.197968325791855,25.3805545886994
Bulgaria,2020240,0.816,high development,0.168226315789474,20.6159700722394
Canada,31323043,0.929,high development,0.0534367816091954,5.75207552305656
Cape Verde,125024,0.665,medium development,0.145759036144578,21.9186520518163
Chile,12911467,0.851,high development,0.170422077922078,20.0260961130526
Colombia,14307709,0.767,medium development,0.218525641025641,28.4909571089493
Costa Rica,798469,0.81,high development,0.221855895196507,27.3896166909267
Cote d'Ivoire,567263,0.538,low development,0.114857142857143,21.3489113117366
Croatia,1550243,0.851,high development,0.151969230769231,17.8577239446805
Cuba,35608501,0.783,medium development,0.0297678571428572,3.80176975004561
Cyprus,5136808,0.887,high development,0.0286491228070176,3.2298898316818
Czechia,17223085,0.9,high development,0.142966216216216,15.8851351351351
Democratic Republic of Congo,132448,0.48,low development,0.201752577319588,42.0317869415807
Denmark,24322447,0.94,high development,0.0565797101449275,6.01911810052421
Dominican Republic,1183657,0.756,medium development,0.215359375,28.4866898148148
Ecuador,1197554,0.759,medium development,0.283713235294118,37.3798728977757
El Salvador,892564,0.673,medium development,0.0840153846153846,12.4837124242771
Estonia,1283666,0.892,high development,0.094195652173913,10.5600506921427
Ethiopia,2573734,0.485,low development,0.106745454545455,22.0093720712277
Fiji,42632,0.743,medium development,0.0353,4.75100942126514
Finland,4471324,0.938,high development,0.0372741935483871,3.97379462136323
France,75271850,0.901,high development,0.0716915887850467,7.9568910971195
Gambia,59489,0.496,low development,0.131924657534247,26.5977132125497
Georgia,254704,0.812,high development,0.035625,4.38731527093596
Ghana,877316,0.611,medium development,0.109011363636364,17.8414670435947
Greece,7630644,0.888,high development,0.0512021276595745,5.7660053670692
Guatemala,1251067,0.663,medium development,0.216536945812808,32.6601728224446
Hungary,4922704,0.854,high development,0.133184210526316,15.595340811044
Iceland,348819,0.949,high development,0.0449701492537314,4.73868801409182
India,281018979,0.645,medium development,0.0825042016806723,12.7913490977786
Indonesia,7199995,0.718,medium development,0.187453987730061,26.1077977339918
Iran,5853262,0.783,medium development,0.173712230215827,22.1854700147928
Iraq,6855019,0.674,medium development,0.111754838709677,16.5808366038097
Ireland,4466107,0.955,high development,0.0864251968503937,9.04975883250196
Israel,16101570,0.919,high development,0.0592477064220183,6.44697567160156
Italy,58236657,0.892,high development,0.100614864864865,11.2796933705005
Jamaica,150952,0.734,medium development,0.130989304812834,17.8459543341736
Japan,11154934,0.919,high development,0.0773606557377049,8.41791683761751
Jordan,4808039,0.729,medium development,0.132008196721311,18.1081202635544
Kazakhstan,10077237,0.825,high development,0.0731237113402062,8.86348016244924
Kenya,573729,0.601,medium development,0.0876830985915493,14.5895338754658
Kuwait,2080415,0.806,high development,0.1376,17.0719602977667
Latvia,2245899,0.866,high development,0.05286,6.10392609699769
Libya,771033,0.724,medium development,0.110101851851852,15.2074381010845
Liechtenstein,39847,0.919,high development,0.100685950413223,10.9560337772822
Lithuania,2797229,0.882,high development,0.105048611111111,11.9102733686067
Luxembourg,2652677,0.916,high development,0.0631808510638298,6.89747282356221
Madagascar,75907,0.528,low development,0.195751219512195,37.0740946045824
Malawi,57004,0.483,low development,0.128029239766082,26.5070889784849
Malaysia,9179078,0.81,high development,0.0578,7.1358024691358
Maldives,718648,0.74,medium development,0.0629909090909091,8.51228501228501
Malta,865475,0.895,high development,0.0372957746478873,4.16712565898183
Mauritania,23429,0.546,low development,NULL,NULL
Mexico,6178248,0.779,medium development,0.316903614457831,40.6808234220579
Mongolia,2461873,0.737,medium development,0.0381463414634146,5.17589436409968
Morocco,5592551,0.686,medium development,0.12257225433526,17.8676755590758
Mozambique,510150,0.456,low development,0.132382352941177,29.031217750258
Myanmar,2407793,0.583,low development,0.0734778761061947,12.6034092806509
Namibia,371679,0.646,medium development,0.11163125,17.2803792569659
Nepal,2410604,0.602,medium development,0.113601156069364,18.8706239317881
New Zealand,1672964,0.931,high development,0.0164444444444444,1.76632056331304
Nigeria,702055,0.539,low development,0.122219653179191,22.675260330091
North Macedonia,714889,0.774,medium development,0.195014563106796,25.1956799879582
Norway,5102342,0.957,high development,0.02836,2.96342737722048
Oman,200640,0.813,high development,0.328322580645161,40.3840812601674
Pakistan,10534185,0.557,low development,0.106326923076923,19.0892141969341
Palestine,1368355,0.708,medium development,0.200778625954198,28.3585629878811
Panama,2371759,0.815,high development,0.193334862385321,23.7220690043339
Paraguay,1078106,0.728,medium development,0.206935185185185,28.4251628001628
Peru,3195388,0.777,medium development,0.189946078431373,24.4460847402024
Philippines,11002514,0.718,medium development,0.10602380952381,14.7665472874387
Poland,13609387,0.88,high development,0.217526595744681,24.7189313346228
Portugal,10462308,0.864,high development,0.0943146853146853,10.9160515410515
Qatar,1848471,0.848,high development,0.162268156424581,19.1353958047855
Romania,5589481,0.828,high development,0.14064,16.9855072463768
Russia,115684824,0.824,high development,0.0395342465753425,4.79784545817263
Rwanda,955920,0.543,low development,0.0274897959183674,5.06257751719473
Saudi Arabia,16838619,0.854,high development,0.0779047619047619,9.122337459574
Senegal,489922,0.512,low development,0.0968521126760564,18.9164282570423
Serbia,3814507,0.806,high development,0.18994472361809,23.5663428806564
Slovakia,34035158,0.86,high development,0.0725405405405406,8.43494657448146
Slovenia,1174592,0.917,high development,0.163632768361582,17.8443585999544
South Africa,10496234,0.709,medium development,0.144449197860963,20.3736527307423
