Location,DevelopmentTiers,Max_Index_Country,CountryCovidDeathTiers,TOTALTESTS,TOTALCASES,TestingCoverage,RankOfTestCoverage
Anguilla,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Aruba,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Bermuda,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Cayman Islands,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Curacao,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Faeroe Islands,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Falkland Islands,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Gibraltar,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Greenland,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Guernsey,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Hong Kong,high development,0.949,Requires Investigation,0,0,Critical Testing Shortage,1
Isle of Man,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Jersey,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Macao,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Montserrat,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Nauru,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Northern Cyprus,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Saint Helena,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Tonga,medium development,0.725,Requires Investigation,0,0,Critical Testing Shortage,1
Turks and Caicos Islands,low development,NULL,Requires Investigation,0,0,Critical Testing Shortage,1
Tunisia,medium development,0.74,Excellent,130677,309119,Critical Testing Shortage,2
Uzbekistan,medium development,0.72,Excellent,0,90808,Critical Testing Shortage,2
Vanuatu,medium development,0.609,Good,0,4,Critical Testing Shortage,2
Vatican,low development,NULL,Requires Investigation,0,27,Critical Testing Shortage,2
Venezuela,medium development,0.711,Excellent,0,197683,Critical Testing Shortage,2
World,medium development,0.737,Excellent,0,150575698,Critical Testing Shortage,2
Yemen,low development,0.47,Good,0,6317,Critical Testing Shortage,2
Solomon Islands,low development,0.567,Requires Investigation,0,20,Critical Testing Shortage,2
Somalia,low development,NULL,Excellent,0,13915,Critical Testing Shortage,2
South America,low development,NULL,Excellent,0,24878216,Critical Testing Shortage,2
Sudan,low development,0.51,Excellent,0,33944,Critical Testing Shortage,2
Suriname,medium development,0.738,Excellent,0,10363,Critical Testing Shortage,2
Spain,high development,0.904,Excellent,0,3524077,Critical Testing Shortage,2
Syria,low development,0.567,Excellent,0,22733,Critical Testing Shortage,2
Tajikistan,medium development,0.668,Excellent,0,13308,Critical Testing Shortage,2
