Location,TotalTests
Solomon Islands,NULL
United Arab Emirates,43310259
Myanmar,2407793
Ghana,877316
Belarus,513058
Liechtenstein,39847
Peru,3195388
Micronesia (country),NULL
Mozambique,510150
Belize,NULL
Malta,865475
Kyrgyzstan,NULL
Sri Lanka,2743851
Iraq,6855019
Mongolia,2461873
Barbados,NULL
Uganda,677401
Bahrain,3297038
Turkey,46956422
Panama,2371759
Yemen,NULL
Mauritania,23429
Jamaica,150952
Guernsey,NULL
International,NULL
Portugal,10462308
Greece,7630644
Papua New Guinea,NULL
Saint Lucia,NULL
Libya,771033
Cote d'Ivoire,567263
Indonesia,7199995
Philippines,11002514
Sweden,8299676
United States,413502739
Oceania,NULL
Palestine,1368355
Saudi Arabia,16838619
Aruba,NULL
Vatican,NULL
Sao Tome and Principe,NULL
Vanuatu,NULL
Trinidad and Tobago,124490
Democratic Republic of Congo,132448
Slovakia,34035158
Curacao,NULL
El Salvador,892564
Iran,5853262
Northern Cyprus,NULL
Singapore,NULL
Venezuela,NULL
Latvia,2245899
Guyana,NULL
Marshall Islands,NULL
Nepal,2410604
United Kingdom,145181353
European Union,NULL
Bermuda,NULL
Congo,NULL
New Zealand,1672964
Tonga,NULL
Albania,610865
Europe,NULL
Costa Rica,798469
Benin,NULL
Chad,NULL
Israel,16101570
Nigeria,702055
Lithuania,2797229
Croatia,1550243
Japan,11154934
Laos,NULL
Macao,NULL
Suriname,NULL
Vietnam,333691
Tajikistan,NULL
Tunisia,130677
South Korea,7494292
Mexico,6178248
Ecuador,1197554
Saint Kitts and Nevis,NULL
Saint Vincent and the Grenadines,NULL
Guinea,NULL
World,NULL
Andorra,NULL
Faeroe Islands,NULL
North America,NULL
South America,NULL
Morocco,5592551
Eswatini,NULL
Sierra Leone,NULL
Netherlands,NULL
Cuba,35608501
Ethiopia,2573734
Hong Kong,NULL
Serbia,3814507
Norway,5102342
Armenia,460180
Falkland Islands,NULL
Liberia,NULL
Central African Republic,NULL
Madagascar,75907
Monaco,NULL
Grenada,NULL
Africa,NULL
Cayman Islands,NULL
Switzerland,6470107
Nauru,NULL
Brazil,NULL
Djibouti,NULL
Dominican Republic,1183657
Thailand,4351770
Tanzania,NULL
Jordan,4808039
Syria,NULL
Moldova,NULL
Namibia,371679
Somalia,NULL
Finland,4471324
Chile,12911467
Turks and Caicos Islands,NULL
Luxembourg,2652677
Pakistan,10534185
Guatemala,1251067
Italy,58236657
Russia,115684824
Burkina Faso,NULL
Burundi,NULL
Comoros,NULL
Lebanon,NULL
Samoa,NULL
Estonia,1283666
Ireland,4466107
Montserrat,NULL
Qatar,1848471
Kosovo,NULL
Zambia,1347849
Sudan,NULL
Egypt,NULL
Bolivia,1079159
Taiwan,207488
Anguilla,NULL
Bangladesh,5444255
Niger,NULL
Uruguay,1235341
Botswana,NULL
Kuwait,2080415
Canada,31323043
Bahamas,NULL
Georgia,254704
Eritrea,NULL
Ukraine,6514739
Fiji,42632
Malaysia,9179078
Slovenia,1174592
Austria,31323111
Isle of Man,NULL
Mauritius,NULL
Lesotho,NULL
Timor,NULL
Cape Verde,125024
Gibraltar,NULL
Czechia,17223085
Spain,NULL
Equatorial Guinea,NULL
Bulgaria,2020240
Oman,200640
South Africa,10496234
Mali,NULL
Hungary,4922704
Jersey,NULL
Zimbabwe,479654
Asia,NULL
Honduras,NULL
Kenya,573729
Cambodia,NULL
Togo,309090
Algeria,NULL
Cyprus,5136808
Iceland,348819
Azerbaijan,22950
Maldives,718648
Senegal,489922
Romania,5589481
Greenland,NULL
Belgium,12474082
Dominica,NULL
Saint Helena,NULL
Gabon,NULL
Nicaragua,NULL
Cameroon,NULL
Australia,10435656
Bosnia and Herzegovina,613431
France,75271850
Antigua and Barbuda,NULL
Malawi,57004
North Macedonia,714889
Rwanda,955920
Brunei,NULL
Poland,13609387
Gambia,59489
Paraguay,1078106
Kazakhstan,10077237
Denmark,24322447
Seychelles,NULL
Germany,NULL
Colombia,14307709
South Sudan,51373
China,NULL
Haiti,NULL
India,281018979
Bhutan,631823
Guinea-Bissau,NULL
San Marino,NULL
Uzbekistan,NULL
Angola,NULL
Afghanistan,NULL
Montenegro,NULL
Argentina,8563665
